country,data
Afghanistan, 12.82
Albania, 2.75
Algeria, 5.4
Andorra, 3.49
Angola, 5.9
Anguilla, 0.0
Antigua and Barbuda, 8.2
Argentina, 5.17
Armenia, 3.4
Aruba, 4.92
Australia, 1.73
Austria, 2.51
Azerbaijan, 13.04
Bahamas, 7.5
Bahrain, 5.47
Bangladesh, 38.95
Barbados, 3.23
Belarus, 28.52
Belgium, 6.27
Belize, 8.74
Benin, 4.89
Bermuda, 7.17
Bhutan, 0.0
Bolivia, 11.37
Bonaire Sint Eustatius and Saba, 0.0
Bosnia and Herzegovina, 7.98
Botswana, 29.4
Brazil, 13.99
British Virgin Islands, 0.0
Brunei, 0.0
Bulgaria, 4.36
Burkina Faso, 6.77
Burundi, 0.0
Cambodia, 1.15
Cameroon, 3.52
Canada, 7.6
Cape Verde, 0.0
Cayman Islands, 4.89
Central African Republic, 6.92
Chad, 6.92
Chile, 7.44
China, 0.09
Colombia, 12.08
Congo, 10.06
Costa Rica, 4.9
Cote d'Ivoire, 11.19
Croatia, 4.81
Cuba, 13.74
Curacao, 2.5
Cyprus, 6.65
Czech Republic, 4.92
Democratic Republic of Congo, 10.12
Denmark, 6.38
Djibouti, 15.87
Dominica, 2.17
Dominican Republic, 8.72
Ecuador, 9.84
Egypt, 16.56
El Salvador, 14.47
Equatorial Guinea, 4.0
Eritrea, 2.11
Estonia, 2.89
Ethiopia, 8.37
Faeroe Islands, 0.18
Falkland Islands, 35.72
Fiji, 2.33
Finland, 6.18
France, 5.09
French Polynesia, 7.55
Gabon, 27.96
Gambia, 0.0
Georgia, 5.06
Germany, 4.59
Ghana, 9.61
Gibraltar, 4.11
Greece, 3.66
Greenland, 0.0
Grenada, 0.0
Guam, 4.55
Guatemala, 19.41
Guernsey, 5.0
Guinea, 14.87
Guinea-Bissau, 1.98
Guyana, 6.08
Haiti, 7.72
Honduras, 7.79
Hungary, 13.36
Iceland, 1.8
India, 13.19
Indonesia, 9.75
International, nan
Iran, 3.06
Iraq, 6.12
Ireland, 11.29
Isle of Man, 10.98
Israel, 3.83
Italy, 2.71
Jamaica, 2.21
Japan, 6.93
Jersey, 2.69
Jordan, 2.15
Kazakhstan, 6.18
Kenya, 5.21
Kosovo, 16.11
Kuwait, 11.02
Kyrgyzstan, 9.34
Laos, 10.06
Latvia, 2.81
Lebanon, 2.46
Liberia, 30.34
Libya, 10.06
Liechtenstein, 0.43
Lithuania, 4.25
Luxembourg, 3.09
Macedonia, 5.17
Madagascar, 6.5
Malawi, 16.96
Malaysia, 3.69
Maldives, 0.0
Mali, 7.87
Malta, 11.82
Mauritania, 5.27
Mauritius, 8.77
Mexico, 12.16
Moldova, 10.13
Monaco, 2.94
Mongolia, 2.17
Montenegro, 2.65
Montserrat, 14.47
Morocco, 7.05
Mozambique, 19.35
Myanmar, 7.06
Namibia, 0.0
Nepal, 0.0
Netherlands, 4.99
New Caledonia, 0.0
New Zealand, 2.48
Nicaragua, 0.0
Niger, 17.46
Nigeria, 6.56
Northern Mariana Islands, 11.2
Norway, 2.29
Oman, 7.2
Pakistan, 5.99
Palestine, 1.3
Panama, 9.43
Papua New Guinea, 25.99
Paraguay, 4.51
Peru, 27.08
Philippines, 3.65
Poland, 8.1
Portugal, 5.96
Puerto Rico, 10.01
Qatar, 9.05
Romania, 8.64
Russia, 16.89
Rwanda, 2.48
Saint Kitts and Nevis, 0.0
Saint Lucia, 0.0
Saint Vincent and the Grenadines, 19.68
San Marino, 6.33
Sao Tome and Principe, inf
Saudi Arabia, 9.22
Senegal, 3.42
Serbia, 9.23
Seychelles, 0.0
Sierra Leone, 5.27
Singapore, 11.56
Sint Maarten (Dutch part), 25.99
Slovakia, 9.49
Slovenia, 3.26
Somalia, 19.68
South Africa, 4.68
South Korea, 0.38
South Sudan, 25.99
Spain, 4.13
Sri Lanka, 2.2
Sudan, 5.27
Suriname, 0.0
Swaziland, 6.27
Sweden, 8.25
Switzerland, 2.88
Syria, 0.0
Taiwan, 0.62
Tanzania, 1.37
Thailand, 3.08
Timor, 25.99
Togo, 7.97
Trinidad and Tobago, 1.25
Tunisia, 3.86
Turkey, 11.85
Turks and Caicos Islands, 0.0
Uganda, 0.64
Ukraine, 12.78
United Arab Emirates, 12.93
United Kingdom, 8.04
United States, 8.17
United States Virgin Islands, 5.98
Uruguay, 4.46
Uzbekistan, 13.6
Vatican, 4.55
Venezuela, 2.45
Vietnam, 1.34
Yemen, 0.0
Zambia, 0.0
Zimbabwe, 6.92
